cb	mojikyo	entity	uni_flag	unicode	nor_unicode	des	nor	cx
14586						[袖-由+升]		
14587			1	9007		[這-言+地]		
14588						[這-言+啼]		
14589						[(口/口)*可]		
14590						[土*(羽/向)]		
14591						[○@(內-入+人)]		
14592						[那-(邱-丘)+尹]		
14593						[咐-寸+(亡/隹)]		
14595						[((彰-章)*║*三)/?]		
14596						[(哀-口+(口/一))*頁]		
14597						[穴/(跳-兆+(利-禾))]		
14598						[烈-列+((日/女)*艮)]		
14599						[日/(大-一+(印-ㄗ+壬))]		
14600						[((ㄇ@〡)*(ㄇ@〡))/山/?]		
14601						[穴/(烈-歹+(口*(跳-兆)))]		
14602						[(彥-文+(立-一))*(友-又+日)]		
14603			0	22258		[序-予+炎]		
14604			0	270D2		[卄/縷]		
14605			0	29F9E		[丸*鳥]		
14606			1	5519		[口*狄]	嘀	
