001##T0001   22,長阿含經                                 ,【後秦 佛陀耶舍共竺佛念譯】
09a##T0268    6,佛說廣博嚴淨不退轉輪經                   ,【劉宋 智嚴譯】
09a##T0269    1,佛說法華三昧經                           ,【劉宋 智嚴譯】
09a##T0270    2,大法鼓經                                 ,【劉宋 求那跋陀羅譯】
09a##T0271    3,佛說菩薩行方便境界神通變化經             ,【劉宋 求那跋陀羅譯】
09a##T0272   10,大薩遮尼乾子所說經                       ,【元魏 菩提流支譯】
09a##T0273    1,金剛三昧經                               ,【失譯】
09a##T0274    1,佛說濟諸方等學經                         ,【西晉 竺法護譯】
09a##T0275    1,大乘方廣總持經                           ,【隋 毘尼多流支譯】
09a##T0276    1,無量義經                                 ,【蕭齊 曇摩伽陀耶舍譯】
09a##T0277    1,佛說觀普賢菩薩行法經                     ,【劉宋 曇無蜜多譯】
09b##T0278   60,大方廣佛華嚴經                           ,【東晉 佛馱跋陀羅譯】
010##T0279   80,大方廣佛華嚴經                           ,【唐 實叉難陀譯】
010##T0280    1,佛說兜沙經                               ,【後漢 支婁迦讖譯】
010##T0281    1,佛說菩薩本業經                           ,【吳 支謙譯】
010##T0282    1,諸菩薩求佛本業經                         ,【西晉 聶道真譯】
010##T0283    1,菩薩十住行道品                           ,【西晉 竺法護譯】
010##T0284    1,佛說菩薩十住經                           ,【東晉 祇多蜜譯】
010##T0285    5,漸備一切智德經                           ,【西晉 竺法護譯】
010##T0286    4,十住經                                   ,【姚秦 鳩摩羅什譯】
010##T0287    9,佛說十地經                               ,【唐 尸羅達摩譯】
010##T0288    3,等目菩薩所問三昧經                       ,【西晉 竺法護譯】
010##T0289    1,顯無邊佛土功德經                         ,【唐 玄奘譯】
010##T0290    1,佛說較量一切佛剎功德經                   ,【宋 法賢譯】
010##T0291    4,佛說如來興顯經                           ,【西晉 竺法護譯】
010##T0292    6,度世品經                                 ,【西晉 竺法護譯】
010##T0293   40,大方廣佛華嚴經                           ,【唐 般若譯】
010##T0294    3,佛說羅摩伽經                             ,【西秦 聖堅譯】
010##T0295    1,大方廣佛華嚴經入法界品                   ,【唐 地婆訶羅譯】
010##T0296    1,文殊師利發願經                           ,【東晉 佛陀跋陀羅譯】
010##T0297    1,普賢菩薩行願讚                           ,【唐 不空譯】
010##T0298    1,大方廣普賢所說經                         ,【唐 實叉難陀譯】
010##T0299    5,大方廣總持寶光明經                       ,【宋 法天譯】
010##T0300    1,大方廣佛華嚴經不思議佛境界分             ,【唐 提雲般若譯】
010##T0301    1,大方廣如來不思議境界經                   ,【唐 實叉難陀譯】
010##T0302    1,度諸佛境界智光嚴經                       ,【失譯】
010##T0303    2,佛華嚴入如來德智不思議境界經             ,【隋 闍那崛多譯】
010##T0304    1,大方廣入如來智德不思議經                 ,【唐 實叉難陀譯】
010##T0305    5,信力入印法門經                           ,【元魏 曇摩流支譯】
010##T0306    1,大方廣佛花嚴經修慈分                     ,【唐 提雲般若等譯】
010##T0307    1,佛說莊嚴菩提心經                         ,【姚秦 鳩摩羅什譯】
010##T0308    1,佛說大方廣菩薩十地經                     ,【元魏 吉迦夜譯】
010##T0309   10,最勝問菩薩十住除垢斷結經                 ,【姚秦 竺佛念譯】
011##T0310  120,大寶積經                                 ,【唐 菩提流志譯并合】
011##T0311    3,大方廣三戒經                             ,【北涼 曇無讖譯】
011##T0312   20,佛說如來不思議祕密大乘經                 ,【宋 法護譯】
011##T0313    2,阿[門@(人/(人*人))]佛國經                ,【後漢 支婁迦讖譯】
011##T0314    1,佛說大乘十法經                           ,【梁 僧伽婆羅譯】
011##T0315a   1,佛說普門品經                             ,【西晉 竺法護譯】
011##T0315b   1,佛說普門品經                             ,【西晉 竺法護譯】
011##T0316   40,佛說大乘菩薩藏正法經                     ,【宋 法護等譯】
011##T0317    1,佛說胞胎經                               ,【西晉 竺法護譯】
011##T0318    2,文殊師利佛土嚴淨經                       ,【西晉 竺法護譯】
011##T0319    3,大聖文殊師利菩薩佛剎功德莊嚴經           ,【唐 不空譯】
011##T0320   20,父子合集經                               ,【宋 日稱等譯】
12a##T0321    4,佛說護國尊者所問大乘經                   ,【宋 施護譯】
12a##T0322    1,法鏡經                                   ,【後漢 安玄譯】
12a##T0323    1,郁迦羅越問菩薩行經                       ,【西晉 竺法護譯】
12a##T0324    1,佛說幻士仁賢經                           ,【西晉 竺法護譯】
12a##T0325    1,佛說決定毘尼經                           ,【西晉 燉煌三藏譯】
12a##T0326    1,佛說三十五佛名禮懺文                     ,【唐 不空譯】
12a##T0327    2,發覺淨心經                               ,【隋 闍那崛多譯】
12a##T0328    1,佛說須賴經                               ,【曹魏 白延譯】
12a##T0329    1,佛說須賴經                               ,【前涼 支施崙譯】
12a##T0330    1,佛說菩薩修行經                           ,【西晉 白法祖譯】
12a##T0331    3,佛說無畏授所問大乘經                     ,【宋 施護等譯】
12a##T0332    1,佛說優填王經                             ,【西晉 法炬譯】
12a##T0333    1,佛說大乘日子王所問經                     ,【宋 法天譯】
12a##T0334    1,佛說須摩提菩薩經                         ,【西晉 竺法護譯】
12a##T0335    1,佛說須摩提菩薩經                         ,【姚秦 鳩摩羅什譯】
12a##T0336    1,須摩提經                                 ,【唐 菩提流志譯】
12a##T0337    1,佛說阿闍貰王女阿術達菩薩經               ,【西晉 竺法護譯】
12a##T0338    1,佛說離垢施女經                           ,【西晉 竺法護譯】
12a##T0339    1,得無垢女經                               ,【元魏 瞿曇般若流支譯】
12a##T0340    2,文殊師利所說不思議佛境界經               ,【唐 菩提流志譯】
12a##T0341    3,聖善住意天子所問經                       ,【元魏 毘目智仙共般若流支譯】
12a##T0342    2,佛說如幻三昧經                           ,【西晉 竺法護譯】
12a##T0343    1,佛說太子刷護經                           ,【西晉 竺法護譯】
12a##T0344    1,佛說太子和休經                           ,【失譯】
12a##T0345    2,慧上菩薩問大善權經                       ,【西晉 竺法護譯】
12a##T0346    4,佛說大方廣善巧方便經                     ,【宋 施護譯】
12a##T0347    2,大乘顯識經                               ,【唐 地婆訶羅譯】
12a##T0348    1,佛說大乘方等要慧經                       ,【後漢 安世高譯】
12a##T0349    1,彌勒菩薩所問本願經                       ,【西晉 竺法護譯】
12a##T0350    1,佛說遺日摩尼寶經                         ,【後漢 支婁迦讖譯】
12a##T0351    1,佛說摩訶衍寶嚴經                         ,【失譯】
12a##T0352    5,佛說大迦葉問大寶積正法經                 ,【宋 施護譯】
12a##T0353    1,勝鬘師子吼一乘大方便方廣經               ,【劉宋 求那跋陀羅譯】
12a##T0354    2,毘耶娑問經                               ,【元魏 瞿曇般若流支譯】
12a##T0355    1,入法界體性經                             ,【隋 闍那崛多譯】
12a##T0356    1,佛說寶積三昧文殊師利菩薩問法身經         ,【後漢 安世高譯】
12a##T0357    2,如來莊嚴智慧光明入一切佛境界經           ,【元魏 曇摩流支譯】
12a##T0358    1,度一切諸佛境界智嚴經                     ,【梁 僧伽婆羅等譯】
12a##T0359    5,佛說大乘入諸佛境界智光明莊嚴經           ,【宋 法護等譯】
12a##T0360    2,佛說無量壽經                             ,【曹魏 康僧鎧譯】
12a##T0361    4,佛說無量清淨平等覺經                     ,【後漢 支婁迦讖譯】
12a##T0362    2,佛說阿彌陀三耶三佛薩樓佛檀過度人道經     ,【吳 支謙譯】
12a##T0363    3,佛說大乘無量壽莊嚴經                     ,【宋 法賢譯】
12a##T0364    2,佛說大阿彌陀經                           ,【宋 王日休校輯】
12a##T0365    1,佛說觀無量壽佛經                         ,【劉宋 [彊-弓]良耶舍譯】
12a##T0366    1,佛說阿彌陀經                             ,【姚秦 鳩摩羅什譯】
12a##T0367    1,稱讚淨土佛攝受經                         ,【唐 玄奘譯】
12a##T0368    1,拔一切業障根本得生淨土神咒               ,【劉宋 求那跋陀羅譯】
12a##T0369    1,阿彌陀佛說咒                             ,【】
12a##T0370    1,阿彌陀鼓音聲王陀羅尼經                   ,【失譯】
12a##T0371    1,觀世音菩薩授記經                         ,【宋 曇無竭譯】
12a##T0372    3,佛說如幻三摩地無量印法門經               ,【宋 施護等譯】
12a##T0373    1,後出阿彌陀佛偈                           ,【失譯】
